[Tue Dec 05 11:25:15.214774 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:25:15.288729 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 16, referer: http://finance/
[Tue Dec 05 11:25:15.288761 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:25:15.288773 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
[Tue Dec 05 11:25:15.288781 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:25:17.216835 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 16, referer: http://finance/
[Tue Dec 05 11:25:17.216893 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:25:17.216917 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
[Tue Dec 05 11:25:17.216932 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:25:17.225023 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 16, referer: http://finance/
[Tue Dec 05 11:25:17.225105 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:25:17.225155 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
[Tue Dec 05 11:25:17.225186 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:25:17.284113 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 16, referer: http://finance/
[Tue Dec 05 11:25:17.284161 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:25:17.284176 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
[Tue Dec 05 11:25:17.284186 2017] [:error] [pid 3605] [client 127.0.0.1:49722] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:27:44.916967 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 17, referer: http://finance/
[Tue Dec 05 11:27:44.917023 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:27:44.917037 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
[Tue Dec 05 11:27:44.917044 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:27:45.590395 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 17, referer: http://finance/
[Tue Dec 05 11:27:45.590429 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:27:45.590441 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
[Tue Dec 05 11:27:45.590450 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:27:45.728907 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 17, referer: http://finance/
[Tue Dec 05 11:27:45.728935 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:27:45.728948 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
[Tue Dec 05 11:27:45.728956 2017] [:error] [pid 4833] [client 127.0.0.1:49744] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:27:52.632892 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 17, referer: http://finance/
[Tue Dec 05 11:27:52.632933 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:27:52.632949 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
